ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Norfolk and Waveney ICB - 26A ,D82001,Holt Medical Practice,8.1658,76.5499,75.0,4.5161,8.5815,1.9776,6.7391,72.9373,74.3506,93.421,1.3815,1.072,22.637,9.2344,21.9215,81.2823,67.0218,0.54,1.101,15.306,0.4436,90.9526,76.3218,91.623,97.9058,10.7845,3.4292,17042
Norfolk and Waveney ICB - 26A ,D82002,Grove Surgery,6.2422,68.593,68.231,3.4502,4.3627,2.1927,3.7252,66.0333,72.4576,83.7607,0.5423,0.615,25.664,7.4855,15.3175,94.75,84.6998,0.8409,0.9274,17.6069,0.1456,86.4689,92.0,85.6164,95.2055,23.3576,1.8941,13207
Norfolk and Waveney ICB - 26A ,D82003,Beaches Medical Centre,7.8786,67.1249,67.931,3.7639,5.6712,3.6564,5.0265,70.494,73.8255,88.7387,1.2586,0.415,29.197,10.0955,16.7603,72.5191,59.3987,0.7368,1.3223,14.1459,2.7721,87.3561,78.9706,67.7419,78.2258,17.3944,2.3659,29050
Norfolk and Waveney ICB - 26A ,D82004,Cromer Group Practice,8.5081,75.4839,76.0331,4.8669,8.552,3.1463,7.5133,72.3485,73.93,88.1356,1.6551,0.453,22.034,10.6192,24.1213,78.3851,69.0042,1.229,1.524,17.5382,0.8375,88.5836,78.5219,61.2903,90.3226,13.3467,3.4576,16142
Norfolk and Waveney ICB - 26A ,D82005,Sheringham Medical Practice,9.5609,77.2102,78.2918,5.302,8.4063,3.0144,7.1833,72.3757,76.7568,88.8889,1.9134,0.523,16.092,10.6532,25.163,82.0106,68.2728,0.791,1.0155,9.0876,0.6274,89.4595,78.5489,86.2319,94.9275,10.6077,3.9337,12211
Norfolk and Waveney ICB - 26A ,D82006,Chet Valley Medical Practice,6.4512,79.4805,81.6733,3.126,6.6533,2.1062,4.6336,80.2575,82.199,90.1639,0.9312,0.228,16.384,8.2563,16.9604,83.2918,71.4792,0.9533,1.0198,12.2356,0.1976,90.479,80.8411,83.871,89.2473,10.0154,2.6161,9024
Norfolk and Waveney ICB - 26A ,D82007,East Norfolk Medical Practice,8.3169,64.4254,63.0824,3.61,6.2165,3.6736,3.8443,70.3166,73.8255,88.4615,0.8261,1.496,46.363,10.254,19.2732,87.4025,73.2558,0.7705,1.6998,15.6962,2.4661,88.3821,87.024,87.6751,92.7171,25.8613,2.3312,29865
Norfolk and Waveney ICB - 26A ,D82008,St Stephen's Gate Medical Practice,8.3168,76.8608,71.3235,2.6094,3.8191,1.6418,4.1843,71.0123,79.4118,88.6364,0.8646,0.674,17.888,6.7063,14.8739,80.5668,70.591,0.4941,1.5183,10.495,0.8669,89.7688,80.3815,88.2353,95.7219,13.7957,2.3932,19982
Norfolk and Waveney ICB - 26A ,D82009,Stalham Staithe Surgery,8.6111,72.6817,74.0586,4.1413,4.5374,3.0609,5.7618,76.1006,78.1065,97.1429,1.1773,0.501,23.75,11.5507,24.6122,89.2157,79.0358,0.928,1.0665,17.7781,0.5914,91.3718,86.0577,77.4194,80.6452,14.0181,2.9086,8827
Norfolk and Waveney ICB - 26A ,D82010,Grimston Medical Centre,9.8309,79.2829,84.0491,5.4872,7.8003,3.4816,6.1495,83.4711,80.6452,93.9394,0.7001,0.713,22.206,11.2722,23.5383,80.9524,73.1579,1.0218,1.0407,17.2498,0.3393,92.5558,81.5385,88.6364,94.3182,10.2592,3.7654,6386
