ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Cambridgeshire and Peterborough ICB - 06H ,D81001,Lensfield Medical Practice,4.2855,73.6641,61.2903,1.3808,1.0624,0.4197,2.6262,47.1429,68.9441,91.4634,0.4738,1.182,9.813,2.6138,6.525,84.375,65.6757,0.2504,0.9747,4.5489,1.3863,72.7862,90.7217,80.7018,91.2281,7.9493,0.8664,9715
Cambridgeshire and Peterborough ICB - 06H ,D81002,Huntingdon Road Surgery,4.0697,69.0594,61.8474,1.4577,1.9023,0.6174,2.118,45.6038,68.8995,91.9118,0.463,0.536,6.207,3.0711,7.2929,79.4821,60.8007,0.1715,0.626,5.289,0.695,74.4511,82.2967,83.4862,89.9083,7.0199,1.0547,15180
Cambridgeshire and Peterborough ICB - 06H ,D81003,York Street Medical Practice,5.1207,68.5106,56.9697,1.6975,1.6165,0.8397,1.535,57.8838,66.0,88.1579,0.1354,0.385,11.647,3.8697,7.8014,80.226,65.5022,0.3431,1.1738,6.8943,1.8321,74.6976,84.4037,90.3226,90.3226,12.0643,1.0023,8765
Cambridgeshire and Peterborough ICB - 06H ,D81004,Alconbury Surgery,7.7692,78.781,70.5329,3.4171,4.3844,1.6208,4.5187,75.8475,77.8626,96.2264,0.842,1.45,9.636,6.5261,15.9206,84.0249,68.8864,0.4491,0.6736,13.5648,2.198,89.4811,84.9421,93.7008,96.063,8.1466,1.9717,12289
Cambridgeshire and Peterborough ICB - 06H ,D81005,Newnham Walk Surgery,4.0172,76.2931,64.3312,1.0367,0.8595,0.3008,2.1823,53.6131,76.259,96.0,0.2624,1.027,5.96,1.4993,5.2925,86.9748,69.4397,0.1344,0.576,2.4458,1.1612,84.2897,73.0159,80.5556,94.4444,4.3258,0.6528,8538
Cambridgeshire and Peterborough ICB - 06H ,D81008,North Brink Practice,6.2155,66.0793,71.179,3.7138,6.1902,3.0459,4.0832,57.6159,66.5753,79.6296,1.0322,1.374,32.413,9.1162,18.3515,78.9601,62.0357,0.7337,0.7387,15.816,0.3994,83.7204,81.062,76.1029,92.2794,22.9809,2.2971,22405
Cambridgeshire and Peterborough ICB - 06H ,D81010,Priory Fields Surgery,6.6335,70.2128,63.4043,3.3772,5.1891,2.5614,3.2719,56.691,61.7347,87.6712,1.0351,0.597,15.281,8.8201,17.0439,80.5907,64.0572,1.0965,1.114,15.3436,0.6128,84.8491,83.9465,58.5526,94.0789,17.8813,1.9386,12034
Cambridgeshire and Peterborough ICB - 06H ,D81011,Clarkson Surgery,7.5433,68.0,73.5178,4.4872,7.7104,3.8209,4.7892,63.7736,70.7692,91.1765,1.0411,0.63,32.215,11.4554,20.5622,83.1897,76.5056,0.7392,0.9058,22.3774,1.1351,89.9475,81.9444,87.3563,95.4023,20.6351,3.1546,12245
Cambridgeshire and Peterborough ICB - 06H ,D81012,Cornford House Surgery,7.1615,71.6511,64.4737,2.8096,3.5636,1.307,4.0633,65.252,70.6806,95.4546,0.978,0.429,8.911,6.5907,13.7903,85.0602,69.7183,0.4268,1.2181,7.985,0.4697,88.2714,80.8743,84.5361,88.6598,10.5158,1.6804,10534
Cambridgeshire and Peterborough ICB - 06H ,D81013,Trumpington Street Medical Practice,4.6123,67.3307,57.4359,0.9998,0.5576,0.5163,1.5442,62.4235,73.5294,93.5897,0.169,0.914,9.08,2.2459,5.3133,81.1225,63.4615,0.2722,0.6665,5.1736,0.6665,77.198,86.5854,75.0,85.9375,8.1381,0.6243,11608
Cambridgeshire and Peterborough ICB - 06H ,D81014,Staploe Medical Centre,6.837,73.6758,68.7646,2.7733,4.5394,1.7868,3.654,66.5272,73.913,93.2927,0.669,0.689,13.905,7.1407,16.7584,80.2548,63.41,0.4573,0.6436,14.1079,3.6022,80.8515,83.8264,87.2951,93.0328,17.0893,1.5454,20928
Cambridgeshire and Peterborough ICB - 06H ,D81015,Parson Drove Surgery,8.3043,72.3214,77.9817,3.7915,7.3382,2.5093,4.8256,71.3542,72.327,92.3077,0.5101,0.917,29.473,11.0507,19.068,71.4815,56.1545,0.455,0.4688,15.527,0.1094,84.9889,83.5443,74.4,91.2,15.1822,2.6748,8140
Cambridgeshire and Peterborough ICB - 06H ,D81016,Arbury Road Surgery,6.8085,65.2,50.8197,2.4069,2.6047,1.9286,2.6768,57.4181,68.2635,89.3443,0.4629,1.1,20.155,6.6274,10.5145,84.6405,69.3472,0.6017,1.4349,12.1841,2.2137,93.1451,87.963,86.1789,92.6829,18.6546,1.2111,11791
Cambridgeshire and Peterborough ICB - 06H ,D81017,Mill Road Surgery,5.7244,68.4615,55.2381,1.4757,2.0691,1.1176,1.7361,62.5995,72.2772,90.2439,0.7161,0.97,10.378,4.5163,8.9301,85.3503,68.1682,0.3255,1.0634,9.1038,0.6192,83.3003,87.0,87.2727,96.3636,12.8496,0.9983,6616
Cambridgeshire and Peterborough ICB - 06H ,D81018,"Orchard Surgery,Melbourn",8.3845,77.2388,69.7297,3.1727,2.9604,1.8628,4.6028,78.2443,78.481,96.9697,0.649,1.108,10.991,7.208,15.7794,87.8481,74.5098,0.5288,0.8172,10.6422,0.2807,90.4027,82.963,82.2785,91.1392,9.1583,2.5838,8426
Cambridgeshire and Peterborough ICB - 06H ,D81021,St. George's Medical Centre,8.5812,71.3911,67.3004,3.6378,4.5038,2.1546,3.4192,73.6239,74.1935,96.0,0.9914,1.449,17.233,9.0104,16.2373,89.1954,74.5897,0.8977,0.9446,18.7839,2.7391,89.9325,88.4058,90.4459,96.1783,15.4875,1.7955,12257
Cambridgeshire and Peterborough ICB - 06H ,D81022,Jenner Healthcare,7.2565,76.7551,75.8216,3.9571,6.0063,2.7269,4.354,77.3333,78.635,90.7515,0.9978,0.853,20.396,10.4103,19.8877,78.2878,55.3664,0.4195,0.6803,19.7674,0.7292,90.6851,82.1229,79.1045,94.7761,13.6318,2.4094,18195
Cambridgeshire and Peterborough ICB - 06H ,D81023,Paston Health Centre,6.5054,64.8718,65.343,2.4183,2.9146,2.106,2.9339,73.2218,74.8879,90.9774,0.6754,0.857,,9.5497,14.2919,87.7419,65.5609,0.8787,0.886,18.1541,0.3436,87.7473,89.4558,85.1064,92.5532,19.5379,1.9099,13010
Cambridgeshire and Peterborough ICB - 06H ,D81025,Cherry Hinton Medical Centre,5.638,71.2121,60.3175,2.9851,3.0701,1.5451,3.6998,58.2418,70.0,86.747,0.4415,0.416,11.006,7.1657,13.2121,87.0504,70.1737,0.6412,1.3244,11.656,1.157,84.97,91.9355,85.0,93.0,13.5068,1.5661,8885
Cambridgeshire and Peterborough ICB - 06H ,D81026,Boroughbury Medical Centre,6.1181,67.0151,70.4778,3.2588,3.2463,2.1157,3.4533,57.9336,68.7366,79.4203,1.0653,1.323,31.165,9.6786,14.8607,86.0737,66.6494,0.6793,1.3765,15.1494,0.6715,86.7287,83.6888,76.4706,91.2854,19.1583,1.9152,33692
Cambridgeshire and Peterborough ICB - 06H ,D81027,Wellside Surgery,8.0933,73.6462,70.9184,3.2801,3.9798,2.0736,4.273,75.102,76.8293,96.9697,0.6032,1.642,11.291,8.3087,17.0793,77.3077,63.4213,0.2639,0.6912,13.7555,0.7654,88.8456,77.7108,79.7872,90.4255,11.7567,2.3124,6805
Cambridgeshire and Peterborough ICB - 06H ,D81028,Firs House Surgery,7.6365,80.1402,74.5704,3.2442,2.4465,1.4462,5.0657,75.1979,81.3492,93.0435,1.6573,1.14,7.985,6.142,15.4706,78.9474,66.642,0.4534,1.0084,7.2902,1.7651,81.8949,85.1675,88.4615,88.4615,7.8765,1.9778,12424
Cambridgeshire and Peterborough ICB - 06H ,D81029,Old Fletton Surgery,6.5549,70.3125,68.2657,2.8321,3.0715,2.0314,3.5142,65.1357,69.5067,88.6957,0.519,0.293,24.036,8.4997,14.3683,74.3456,59.7044,0.6821,0.8155,14.9797,0.4919,86.9786,86.3454,74.5223,89.8089,17.7585,1.5644,13027
Cambridgeshire and Peterborough ICB - 06H ,D81030,Grove Medical Practice,8.4263,76.5957,72.5806,3.7631,6.7276,2.3635,4.8921,71.4612,78.2759,94.0678,0.7988,1.455,9.128,7.5031,19.7135,80.0539,70.41,0.5017,0.9837,13.7097,0.5548,89.8726,85.6383,85.1429,92.0,10.6138,2.2513,15044
Cambridgeshire and Peterborough ICB - 06H ,D81031,Yaxley Group Practice,6.771,75.4386,76.808,2.568,3.851,2.0065,3.6518,73.5664,78.6982,91.8782,0.5126,1.975,13.374,7.6122,14.9197,88.81,69.5949,0.703,0.6542,17.9045,0.9985,89.7097,85.7143,91.2844,94.4954,11.5578,1.6599,16882
Cambridgeshire and Peterborough ICB - 06H ,D81033,Over Surgery,8.8856,79.235,76.6129,3.7588,6.7942,1.9698,5.407,77.0833,82.243,91.6667,0.7437,1.233,6.163,7.0262,16.8241,76.1905,63.8889,0.3417,0.8241,18.4701,3.2554,93.8431,80.7692,89.7959,95.9184,8.6624,1.9497,4423
Cambridgeshire and Peterborough ICB - 06H ,D81034,St Mary's Surgery,8.2728,77.7778,74.2718,4.1797,4.073,2.3083,4.8592,80.0,83.6795,92.8571,0.933,0.896,9.972,8.1339,17.3228,86.1145,75.5333,0.5393,0.8359,15.6133,3.0352,90.6189,87.0283,83.945,98.1651,9.411,2.1087,18031
Cambridgeshire and Peterborough ICB - 06H ,D81035,Comberton Surgery,8.6002,80.6358,71.6667,3.419,4.5819,1.2396,5.1085,71.4286,79.6117,91.25,0.7598,0.964,7.885,6.1061,15.3954,76.7677,60.4021,0.3499,0.8397,9.8398,0.5865,83.675,84.0,78.1609,90.8046,7.5122,1.8794,8781
Cambridgeshire and Peterborough ICB - 06H ,D81036,Priors Field Surgery,9.0589,75.9358,71.9008,4.1781,3.9796,2.3819,3.7681,74.1935,76.1905,93.1818,0.6052,1.262,13.821,7.8356,18.5279,77.9412,67.651,0.5271,0.5662,15.1662,0.7993,80.6277,88.9908,72.7273,92.7273,12.4913,1.7766,5001
Cambridgeshire and Peterborough ICB - 06H ,D81037,Bridge Street Medical Centre,2.9485,65.0685,58.4158,0.6907,0.6706,0.3972,1.3815,39.7163,64.2105,92.4528,0.1122,0.624,9.899,1.4266,3.7558,82.5243,71.988,0.1727,0.7771,3.2694,0.7496,67.5278,84.6154,86.9565,91.3043,7.4775,0.5958,6475
Cambridgeshire and Peterborough ICB - 06H ,D81038,Kimbolton Medical Centre,8.8248,82.0988,75.1111,3.5744,4.8152,1.7735,4.9932,84.0659,84.4086,95.122,0.6958,0.438,12.456,6.4639,19.5362,85.0575,74.7232,0.2319,0.4775,9.7763,0.3097,89.6903,88.8889,93.0556,97.2222,6.4297,1.9918,6528
Cambridgeshire and Peterborough ICB - 06H ,D81041,Bourn Surgery,7.1177,81.448,70.4819,2.982,4.6771,1.1548,5.2332,78.392,79.8658,95.8333,0.7017,0.594,8.294,7.022,15.2317,92.0949,81.7491,0.2193,0.6432,12.7134,0.6651,90.223,91.6667,93.6508,95.2381,6.9759,1.8857,5725
Cambridgeshire and Peterborough ICB - 06H ,D81042,Waterbeach Surgery,7.6133,74.026,69.8113,2.8402,4.2629,1.5585,3.5374,68.6992,77.0115,93.0,1.1381,0.699,11.407,6.4231,13.5343,80.5014,62.539,0.4306,0.9125,10.0436,0.7761,86.4394,82.7381,70.5882,100.0,10.7071,1.5072,5360
